"class","class_id","department","fiscal_year","fund","minor_class","minor_class_id","total"
"Purchase of Services","2","Office of Housing","2016","Community Development Fund","Legal Services","253","10000"
"Purchase of Services","2","Office of Housing","2016","Community Development Fund","Dues","255","5000"
"Purchase of Services","2","Office of Housing","2016","Community Development Fund","Seminar and Training Sessions","256","11000"
"Purchase of Services","2","Office of Housing","2016","Community Development Fund","Repair and Maintenance Charges","260","25000"
"Purchase of Services","2","Office of Housing","2016","Community Development Fund","Maint/support-computr Hardware/soft","266","40000"
"Purchase of Services","2","Office of Housing","2016","Community Development Fund","Ground and Building Rental","284","400000"
"Purchase of Services","2","Office of Housing","2016","Community Development Fund","Rents","285","20000"
"Purchase of Services","2","Office of Housing","2016","Community Development Fund","Other Expenses (not Othrwse Clssfd)","299","100000"
"Materials and Supplies","3","Office of Housing","2016","Community Development Fund","Books and Other Publications","304","2500"
"Materials and Supplies","3","Office of Housing","2016","Community Development Fund","Office Materials and Supplies","320","65000"
"Materials and Supplies","3","Office of Housing","2016","Community Development Fund","Printing","325","60000"
"Materials and Supplies","3","Office of Housing","2016","Community Development Fund","Gasoline","345","3500"
"Materials and Supplies","3","Office of Housing","2016","Community Development Fund","Other Materials and Supplies (noc)","399","100000"
"Equipment","4","Office of Housing","2016","Community Development Fund","Office Equipment","420","5000"
"Equipment","4","Office of Housing","2016","Community Development Fund","Computer Equipment & Peripherals","427","20000"
"Equipment","4","Office of Housing","2016","Community Development Fund","Other Equipment (noc)","499","25000"
"Payments to Other Funds","8","Office of Housing","2016","Community Development Fund","Payments to General Fund","801","30000"
"Personal Services","1","Licenses & Inspections","2016","Community Development Fund","Perm Full Time-civilian","101","514818"
"Personal Services","1","Finance - Employee Benefits","2016","Community Development Fund","Flex Cash","186","4406"
"Personal Services","1","Finance - Employee Benefits","2016","Community Development Fund","Worker's Comp-disability Comp","187","108947"
"Personal Services","1","Finance - Employee Benefits","2016","Community Development Fund","Medicare Tax","189","86905"
"Personal Services","1","Finance - Employee Benefits","2016","Community Development Fund","Pension-obligation Bond Payments","190","375000"
"Personal Services","1","Finance - Employee Benefits","2016","Community Development Fund","Pension","191","2234017"
"Personal Services","1","Finance - Employee Benefits","2016","Community Development Fund","FICA Taxes","192","371665"
"Personal Services","1","Finance - Employee Benefits","2016","Community Development Fund","Medical Health & Welfare Credit","193","983216"
"Personal Services","1","Finance - Employee Benefits","2016","Community Development Fund","Group Life Insurance","194","43887"
"Personal Services","1","Finance - Employee Benefits","2016","Community Development Fund","Group Legal Insurance","195","8028"
"Personal Services","1","Finance - Employee Benefits","2016","Community Development Fund","Unemployment Comp Insurance","196","20488"
"Advances & Other Misc Payments","9","Director of Finance","2016","Community Development Fund","Standby Authorizations","999","20000000"
"Personal Services","1","Commerce","2016","Community Development Fund","Salary Control","100","44545"
"Personal Services","1","Commerce","2016","Community Development Fund","Perm Full Time-civilian","101","890909"
"Purchase of Services","2","Commerce","2016","Community Development Fund","Professional Consult/spec Services","250","8461248"
"Materials and Supplies","3","Commerce","2016","Community Development Fund","Office Materials and Supplies","320","3000"
"Equipment","4","Commerce","2016","Community Development Fund","Computer Equipment & Peripherals","427","5000"
"Personal Services","1","Law","2016","Community Development Fund","Perm Full Time-civilian","101","154637"
"Personal Services","1","City Planning Commission","2016","Community Development Fund","Perm Full Time-civilian","101","280000"
"Purchase of Services","2","Sinking Fund Commission","2016","Car Rental Tax Fund","Rents","285","6000000"
"Personal Services","1","Office of Housing","2016","Housing Trust Fund","Perm Full Time-civilian","101","1250000"
"Purchase of Services","2","Office of Housing","2016","Housing Trust Fund","Professional Consult/spec Services","250","23250000"
"Personal Services","1","Health","2016","Acute Care Hospital Assessment Fund","Perm Full Time-civilian","101","972467"
"Personal Services","1","Health","2016","Acute Care Hospital Assessment Fund","Perm Part Time","111","4085541"
"Purchase of Services","2","Health","2016","Acute Care Hospital Assessment Fund","Telephone","209","160000"
"Purchase of Services","2","Health","2016","Acute Care Hospital Assessment Fund","Commercial Off-shelf Comp Software","216","100000"
"Purchase of Services","2","Health","2016","Acute Care Hospital Assessment Fund","Meals-non-travel & Officl Entertain","230","4832"
"Purchase of Services","2","Health","2016","Acute Care Hospital Assessment Fund","Professional Consult/spec Services","250","155174083"
"Purchase of Services","2","Health","2016","Acute Care Hospital Assessment Fund","Maint/support-computr Hardware/soft","266","200000"
"Materials and Supplies","3","Health","2016","Acute Care Hospital Assessment Fund","Electrical and Communication","310","3000"
"Materials and Supplies","3","Health","2016","Acute Care Hospital Assessment Fund","Office Materials and Supplies","320","10000"
"Materials and Supplies","3","Health","2016","Acute Care Hospital Assessment Fund","Other Materials and Supplies (noc)","399","8000"
"Equipment","4","Health","2016","Acute Care Hospital Assessment Fund","Computer Equipment & Peripherals","427","60000"
"Payments to Other Funds","8","Health","2016","Acute Care Hospital Assessment Fund","Payments to Capital Projects Fund","804","2000000"
"Personal Services","1","Director of Finance","2016","Acute Care Hospital Assessment Fund","Perm Full Time-civilian","101","75000"
"Personal Services","1","Finance - Employee Benefits","2016","Acute Care Hospital Assessment Fund","Worker's Comp-disability Comp","187","16923"
"Personal Services","1","Finance - Employee Benefits","2016","Acute Care Hospital Assessment Fund","Medicare Tax","189","8900"
"Personal Services","1","Finance - Employee Benefits","2016","Acute Care Hospital Assessment Fund","Pension-obligation Bond Payments","190","12472"
"Personal Services","1","Finance - Employee Benefits","2016","Acute Care Hospital Assessment Fund","Pension","191","29625"
"Personal Services","1","Finance - Employee Benefits","2016","Acute Care Hospital Assessment Fund","FICA Taxes","192","37785"
"Personal Services","1","Finance - Employee Benefits","2016","Acute Care Hospital Assessment Fund","Medical Health & Welfare Credit","193","160274"
"Personal Services","1","Finance - Employee Benefits","2016","Acute Care Hospital Assessment Fund","Group Life Insurance","194","500"
"Personal Services","1","Finance - Employee Benefits","2016","Acute Care Hospital Assessment Fund","Group Legal Insurance","195","1598"
"Personal Services","1","Revenue","2016","Acute Care Hospital Assessment Fund","Perm Full Time-civilian","101","30000"
"Materials and Supplies","3","Revenue","2016","Acute Care Hospital Assessment Fund","Office Materials and Supplies","320","5000"
"Equipment","4","Revenue","2016","Acute Care Hospital Assessment Fund","Office Equipment","420","10000"
"Personal Services","1","Board of Pensions","2016","Undistributed Pension Funds","Salary Control","100","20000"
"Personal Services","1","Board of Pensions","2016","Undistributed Pension Funds","Perm Full Time-civilian","101","3726903"
"Personal Services","1","Board of Pensions","2016","Undistributed Pension Funds","Temporary Seasonal","121","2000"
"Personal Services","1","Board of Pensions","2016","Undistributed Pension Funds","Overtime Civilian","161","1000"
"Personal Services","1","Board of Pensions","2016","Undistributed Pension Funds","Shift","181","97"
"Personal Services","1","Finance - Employee Benefits","2016","Undistributed Pension Funds","Worker's Comp-disability Comp","187","75000"
"Personal Services","1","Finance - Employee Benefits","2016","Undistributed Pension Funds","Medicare Tax","189","50000"
"Personal Services","1","Finance - Employee Benefits","2016","Undistributed Pension Funds","Pension-obligation Bond Payments","190","350000"
"Personal Services","1","Finance - Employee Benefits","2016","Undistributed Pension Funds","Pension","191","1600000"
"Personal Services","1","Finance - Employee Benefits","2016","Undistributed Pension Funds","FICA Taxes","192","220000"
"Personal Services","1","Finance - Employee Benefits","2016","Undistributed Pension Funds","Medical Health & Welfare Credit","193","1100000"
"Personal Services","1","Finance - Employee Benefits","2016","Undistributed Pension Funds","Group Life Insurance","194","15000"
"Personal Services","1","Finance - Employee Benefits","2016","Undistributed Pension Funds","Group Legal Insurance","195","10000"
"Purchase of Services","2","Board of Pensions","2016","Undistributed Pension Funds","Telephone","209","3000"
"Purchase of Services","2","Board of Pensions","2016","Undistributed Pension Funds","Postage","210","80000"
"Purchase of Services","2","Board of Pensions","2016","Undistributed Pension Funds","Transportation","211","10000"
"Purchase of Services","2","Board of Pensions","2016","Undistributed Pension Funds","Commercial Off-shelf Comp Software","216","10000"
"Purchase of Services","2","Board of Pensions","2016","Undistributed Pension Funds","Professional Consult/spec Services","250","1211000"
"Purchase of Services","2","Board of Pensions","2016","Undistributed Pension Funds","Information Technology-prof Service","251","235000"
"Purchase of Services","2","Board of Pensions","2016","Undistributed Pension Funds","Accounting and Auditing Services","252","73000"
"Purchase of Services","2","Board of Pensions","2016","Undistributed Pension Funds","Legal Services","253","100000"
"Purchase of Services","2","Board of Pensions","2016","Undistributed Pension Funds","Dues","255","1000"
"Purchase of Services","2","Board of Pensions","2016","Undistributed Pension Funds","Seminar and Training Sessions","256","1000"
"Purchase of Services","2","Board of Pensions","2016","Undistributed Pension Funds","Court Reporters","258","10000"
"Purchase of Services","2","Board of Pensions","2016","Undistributed Pension Funds","Repair and Maintenance Charges","260","10000"
"Purchase of Services","2","Board of Pensions","2016","Undistributed Pension Funds","Maint/support-computr Hardware/soft","266","2000"
"Purchase of Services","2","Board of Pensions","2016","Undistributed Pension Funds","Lease Payments-phila Municipal Auth","281","791000"
"Purchase of Services","2","Board of Pensions","2016","Undistributed Pension Funds","Rents","285","1000"
